Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Vol_MA_5,Vol_MA_20
2025-04-22,804.0028686523438,816.8117378833248,804.0028686523438,813.8558449838675,28888527,828.2412231445312,835.7294799804688,876.6193420410157,28643607.0,41173995.25
2025-04-23,860.1648559570312,860.1648559570312,835.5324144920532,840.4589027850488,37863656,831.7882934570313,844.4001037597657,871.7421173095703,27790721.8,42261102.75
2025-04-24,851.2971801757812,872.973728745072,846.3706918645788,872.973728745072,32238198,835.1383056640625,844.4986328125,865.5347381591797,27501461.0,42564641.25
2025-04-25,874.9443359375,887.7532057203688,872.9737405862894,886.7679080447635,34640282,842.6265747070313,844.4001037597657,861.0023681640625,30409273.6,43209859.5
2025-04-28,883.81201171875,884.7973093906772,879.8708210310409,884.7973093906772,21830091,854.8442504882812,847.5530578613282,857.9972137451172,31092150.8,42573201.25
2025-04-29,888.738525390625,888.738525390625,879.8708460907186,883.8120368906771,24362874,871.7913818359375,850.0163024902344,855.533969116211,30187020.2,42136283.25
2025-04-30,894.6502685546875,894.6502685546875,885.7825896813481,887.7531849865346,35405654,878.6884643554688,855.23837890625,855.4354370117187,29695419.8,41353335.4
2025-05-02,936.0328369140624,936.0328369140624,918.2974778988488,924.2092642372534,43873135,895.635595703125,865.3869506835938,855.7310272216797,32022407.2,41937104.55
2025-05-05,924.209228515625,942.929884530334,909.4297632408548,941.9445868453492,52770209,905.48857421875,874.0575744628907,855.533969116211,35648392.6,43333132.2
2025-05-06,906.473876953125,916.3268538765284,902.5326861837636,902.5326861837636,37538894,910.020947265625,882.4325988769531,859.0810394287109,38790153.2,44019038.25
2025-05-07,914.356201171875,918.2973916941676,897.6061414521315,911.4003082801556,36907620,915.144482421875,893.4679321289062,864.5987060546875,41299102.4,40031982.45
2025-05-08,904.5032348632812,925.19448533401,904.5032348632812,919.2826994852304,27985917,917.1150756835938,897.9017700195312,871.1509368896484,39815155.0,36052136.4
2025-05-09,935.0474243164062,935.0474243164062,920.2679602861152,924.2091506941928,36383573,916.9179931640625,906.2767944335938,875.3877136230469,38317242.6,36900493.65
2025-05-12,942.9298706054688,947.8563589576396,938.003382253298,939.9739775941664,23402547,920.6621215820312,913.0753479003906,878.7377258300781,32443710.2,34265441.7
2025-05-13,954.7534790039062,975.444730870864,954.7534790039062,975.444730870864,38047856,930.3180419921875,920.1694946289062,883.8612762451172,32545502.6,32851531.8
2025-05-14,984.3124389648438,984.3124389648438,973.4741638611268,975.44475933453,40475123,944.3092895507813,929.7268859863282,889.8715942382812,33259003.2,33347183.2
2025-05-15,978.4005126953124,985.2975958663772,978.4005126953124,985.2975958663772,24662270,959.0887451171875,938.1019104003906,896.6701446533203,32594273.8,32473892.6
2025-05-16,983.3270263671876,983.3270263671876,974.4593477726938,976.4299430159148,16878650,968.7446655273437,942.8313293457031,904.1091400146485,28693289.2,31633600.0
2025-05-19,969.5328369140624,979.3858128989616,965.5916465201028,978.4005153004716,19906139,974.0652587890625,947.3636901855468,910.7106323242188,27994007.6,31623846.0
2025-05-20,963.6211547851562,979.385918053625,963.6211547851562,976.4300249407872,20897857,975.8387939453125,953.07841796875,917.7555084228516,24564007.8,31747953.6
2025-05-21,975.4447631835938,984.3124428488992,968.5476789994672,971.5035722212358,26248757,974.0652587890625,959.1872741699219,926.327603149414,21718734.6,31615965.1
2025-05-22,967.5623168945312,973.4741029448032,964.6064238693951,973.4741029448032,18747545,971.8976196289062,965.4931823730469,931.697476196289,20535789.6,30660159.55
2025-05-23,969.5328369140624,978.4005153004716,960.6651585276534,978.4005153004716,22213030,969.1387817382813,968.9417236328125,937.6092590332031,21602665.6,30158901.15
2025-05-26,961.6505126953124,969.5328939469134,960.6652150388624,960.6652150388624,19329052,967.5623168945312,970.8137878417969,941.9445678710938,21487248.2,29393339.65
2025-05-27,950.8121948242188,960.6651709363867,946.8710043793516,956.7239804915196,26355315,965.0005249023437,970.4196594238281,945.2945770263672,22578739.8,29619600.85
2025-05-28,952.7828369140624,970.5181947883676,952.7828369140624,969.532897128684,26471533,960.4681396484373,967.26669921875,948.496792602539,22623295.0,29725033.8
2025-05-29,952.7828369140624,971.5034924480514,952.7828369140624,971.5034924480514,48602590,957.5122436523436,964.704931640625,951.4034210205078,28594304.0,30384880.6
2025-06-02,932.0916137695312,946.8710791041432,932.0916137695312,943.9151860372208,33676511,950.0239990234375,959.5813903808594,951.2063598632812,30887000.2,29875049.4
2025-06-03,936.0328369140624,950.812302760074,936.0328369140624,945.8858141447369,26020787,944.9004638671875,956.2313903808594,951.7975402832031,32225347.2,28537578.3
2025-06-04,975.4447631835938,975.4447631835938,955.738808371804,959.679999334162,37233567,949.8269775390625,957.4137512207031,955.2460845947265,34400997.6,28522311.95
2025-06-05,983.3270263671876,985.2976216104084,976.4299430159148,985.2976216104084,24414444,955.9358154296875,958.2019775390625,958.6946258544922,33989579.8,27897653.15
2025-06-06,980.3712158203124,982.3418112289966,976.4300250029444,982.3418112289966,13670307,961.4534912109375,959.4828674316407,962.4880249023438,27003123.2,27181872.65
2025-06-09,990.22412109375,995.1506092583954,985.2976329291045,990.22412109375,21674308,973.0799926757812,961.5519958496094,965.246859741211,24602682.6,26446409.4
2025-06-10,1029.6361083984375,1034.5625969553678,1005.003665613786,1009.9301541707162,44877640,991.8006469726563,968.3505554199219,969.5821716308594,28374053.2,27520164.05
2025-06-11,1049.342041015625,1054.2685294710975,1039.4890641046802,1049.342041015625,37178498,1006.5801025390625,978.2035400390625,974.3115997314453,28363039.4,27476696.15
