K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
02.T字線,09.-4~-2%,1.<5%,40.83,43.58,42.89,43.0,44.43,872
08.長上影線紅K,04.4~6%,2.5~10%,41.63,45.51,48.98,48.26,49.94,836
09.實體綠K(大陰線),12.-10~-8%,1.<5%,47.34,51.21,50.06,53.81,53.33,828
06.長下影線紅K,03.6~8%,2.5~10%,56.41,53.08,54.74,53.97,52.5,780
04.十字線,05.2~4%,2.5~10%,43.09,42.15,43.89,43.76,46.51,746
07.紅K,04.4~6%,1.<5%,42.53,47.38,53.16,52.89,50.74,743
11.綠K,10.-6~-4%,1.<5%,48.71,48.3,46.53,45.31,44.08,737
05.實體紅K(大陽線),05.2~4%,3.10~15%,39.78,45.13,44.86,48.01,44.64,729
07.紅K,09.-4~-2%,1.<5%,45.17,42.28,46.03,46.75,45.74,693
11.綠K,05.2~4%,1.<5%,46.53,48.84,51.16,51.16,51.16,692
06.長下影線紅K,09.-4~-2%,2.5~10%,45.35,46.66,48.98,50.15,49.78,688
04.十字線,10.-6~-4%,2.5~10%,45.05,45.35,45.95,45.35,45.65,666
04.十字線,10.-6~-4%,1.<5%,49.22,47.51,48.6,49.53,47.2,642
01.一字線,01.>10%,1.<5%,63.06,58.09,57.28,52.59,53.24,621
02.T字線,02.8~10%,1.<5%,67.15,71.17,76.22,71.66,69.82,616
06.長下影線紅K,02.8~10%,1.<5%,56.07,61.12,67.55,63.26,63.41,611
03.倒T字線,10.-6~-4%,1.<5%,52.71,53.04,55.01,55.01,53.69,609
05.實體紅K(大陽線),01.>10%,2.5~10%,59.04,52.93,55.44,53.81,52.79,581
02.T字線,04.4~6%,1.<5%,29.6,34.77,38.21,40.1,39.76,581
08.長上影線紅K,11.-8~-6%,1.<5%,53.29,46.54,50.27,52.4,51.15,563
12.長上影線綠K,05.2~4%,2.5~10%,44.13,49.02,49.73,50.0,44.82,562
01.一字線,13.<-10%,1.<5%,31.31,32.92,37.81,39.61,43.37,559
10.長下影線綠K,04.4~6%,2.5~10%,29.23,32.54,37.5,36.4,36.03,544
07.紅K,08.-2~0%,2.5~10%,48.15,46.68,49.72,51.57,47.87,542
03.倒T字線,11.-8~-6%,2.5~10%,43.26,44.57,47.57,48.31,47.0,534
11.綠K,06.0~2%,2.5~10%,46.21,46.78,46.97,47.16,46.97,528
05.實體紅K(大陽線),01.>10%,1.<5%,46.55,47.89,52.68,49.81,52.78,522
03.倒T字線,05.2~4%,1.<5%,44.1,43.01,44.54,45.63,48.47,458
10.長下影線綠K,08.-2~0%,3.10~15%,46.17,45.83,48.46,47.37,51.75,457
12.長上影線綠K,09.-4~-2%,3.10~15%,48.2,45.25,45.35,43.54,45.35,448
08.長上影線紅K,11.-8~-6%,2.5~10%,55.26,49.89,49.22,51.68,52.8,447
04.十字線,04.4~6%,1.<5%,41.46,47.15,50.11,51.03,48.06,439
05.實體紅K(大陽線),06.0~2%,3.10~15%,43.88,49.42,52.42,49.19,47.58,433
05.實體紅K(大陽線),11.-8~-6%,1.<5%,50.61,52.78,53.75,54.0,53.75,413
10.長下影線綠K,09.-4~-2%,3.10~15%,49.03,50.49,53.16,53.64,51.94,412
09.實體綠K(大陰線),03.6~8%,1.<5%,33.16,35.46,37.5,36.73,39.03,392
12.長上影線綠K,12.-10~-8%,2.5~10%,53.26,56.4,55.76,59.42,60.47,383
09.實體綠K(大陰線),08.-2~0%,3.10~15%,36.49,42.43,39.19,41.08,41.62,370
