K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
10.長下影線綠K,10.-6~-4%,3.10~15%,45.31,47.66,47.66,47.66,44.53,129
09.實體綠K(大陰線),06.0~2%,3.10~15%,38.28,54.33,39.37,38.1,39.68,128
04.十字線,03.6~8%,2.5~10%,48.82,48.82,45.67,46.46,50.79,127
08.長上影線紅K,01.>10%,1.<5%,38.52,39.34,40.98,43.44,43.44,122
06.長下影線紅K,10.-6~-4%,2.5~10%,48.76,50.41,51.24,47.93,49.59,121
09.實體綠K(大陰線),11.-8~-6%,4.>15%,50.83,50.83,54.17,54.17,48.33,120
06.長下影線紅K,03.6~8%,3.10~15%,51.28,41.88,40.17,37.61,38.79,117
10.長下影線綠K,07.0%,3.10~15%,34.48,37.07,39.66,40.52,37.07,116
10.長下影線綠K,11.-8~-6%,2.5~10%,46.85,53.64,46.36,49.09,51.82,111
03.倒T字線,12.-10~-8%,2.5~10%,57.01,47.66,54.21,59.81,59.81,107
11.綠K,05.2~4%,2.5~10%,53.0,46.0,42.0,43.0,44.0,100
08.長上影線紅K,12.-10~-8%,1.<5%,62.63,63.64,65.66,65.66,63.64,99
07.紅K,10.-6~-4%,1.<5%,52.53,57.58,56.57,60.61,55.1,99
05.實體紅K(大陽線),02.8~10%,4.>15%,39.58,41.67,43.75,33.33,34.38,96
10.長下影線綠K,01.>10%,1.<5%,32.98,40.43,40.43,41.49,42.55,94
03.倒T字線,04.4~6%,1.<5%,38.3,41.49,39.36,42.55,43.62,94
05.實體紅K(大陽線),13.<-10%,1.<5%,60.44,60.44,57.14,59.34,56.04,91
12.長上影線綠K,13.<-10%,1.<5%,60.0,67.78,60.0,66.67,67.78,90
07.紅K,04.4~6%,3.10~15%,35.23,35.23,35.23,34.48,35.63,88
05.實體紅K(大陽線),01.>10%,4.>15%,33.33,29.89,28.74,20.69,21.84,87
11.綠K,11.-8~-6%,1.<5%,44.05,44.05,42.17,48.19,50.6,84
03.倒T字線,06.0~2%,2.5~10%,44.05,42.86,45.24,47.62,51.19,84
12.長上影線綠K,01.>10%,1.<5%,39.76,48.19,44.58,42.17,37.35,83
09.實體綠K(大陰線),07.0%,3.10~15%,31.71,36.59,37.8,31.71,40.24,82
10.長下影線綠K,02.8~10%,1.<5%,34.15,39.02,45.12,43.9,41.46,82
08.長上影線紅K,07.0%,3.10~15%,45.68,46.91,43.21,46.91,48.15,81
07.紅K,05.2~4%,3.10~15%,46.91,37.04,48.15,46.91,46.91,81
04.十字線,03.6~8%,1.<5%,42.5,47.5,50.0,53.75,58.75,80
03.倒T字線,11.-8~-6%,3.10~15%,54.43,56.96,56.96,54.43,55.7,79
11.綠K,04.4~6%,1.<5%,35.44,50.63,59.49,58.23,51.9,79
12.長上影線綠K,12.-10~-8%,3.10~15%,56.41,57.14,61.04,64.94,62.34,78
08.長上影線紅K,11.-8~-6%,3.10~15%,67.11,65.79,69.74,65.79,65.79,76
09.實體綠K(大陰線),13.<-10%,4.>15%,57.33,49.33,40.0,46.67,48.0,75
08.長上影線紅K,03.6~8%,2.5~10%,43.66,49.3,60.56,60.56,61.97,71
12.長上影線綠K,13.<-10%,2.5~10%,44.29,51.43,57.14,65.71,68.57,70
12.長上影線綠K,03.6~8%,1.<5%,40.58,36.23,30.43,39.13,40.58,69
05.實體紅K(大陽線),11.-8~-6%,2.5~10%,51.47,55.88,50.0,50.0,47.76,68
12.長上影線綠K,04.4~6%,2.5~10%,40.91,46.15,41.54,49.23,41.54,66
02.T字線,01.>10%,1.<5%,66.15,59.38,56.25,53.12,57.81,65
11.綠K,11.-8~-6%,3.10~15%,57.81,46.88,51.61,46.77,50.0,64
05.實體紅K(大陽線),09.-4~-2%,3.10~15%,52.38,42.86,44.44,42.86,46.03,63
07.紅K,03.6~8%,1.<5%,50.79,50.79,52.38,57.14,55.56,63
10.長下影線綠K,12.-10~-8%,1.<5%,50.0,54.84,61.29,61.29,54.84,62
04.十字線,10.-6~-4%,3.10~15%,40.0,43.33,38.33,40.0,40.0,60
09.實體綠K(大陰線),05.2~4%,3.10~15%,42.37,66.1,42.37,35.59,49.15,59
04.十字線,11.-8~-6%,3.10~15%,37.29,52.54,55.93,52.54,50.85,59
03.倒T字線,13.<-10%,1.<5%,41.07,51.79,57.14,64.29,64.29,56
07.紅K,06.0~2%,3.10~15%,44.64,37.5,46.43,50.0,44.64,56
02.T字線,03.6~8%,3.10~15%,50.91,43.64,47.27,52.73,43.64,55
09.實體綠K(大陰線),01.>10%,2.5~10%,45.28,52.83,35.85,33.96,28.3,53
12.長上影線綠K,02.8~10%,1.<5%,33.96,32.08,37.74,33.96,39.62,53
04.十字線,01.>10%,1.<5%,30.77,48.08,42.31,53.85,42.31,52
07.紅K,10.-6~-4%,2.5~10%,45.1,54.9,50.98,49.02,52.94,51
06.長下影線紅K,11.-8~-6%,1.<5%,50.98,58.82,56.86,58.82,58.82,51
04.十字線,09.-4~-2%,3.10~15%,38.0,44.0,42.0,42.0,44.0,50
08.長上影線紅K,02.8~10%,1.<5%,39.58,35.42,41.67,43.75,56.25,48
06.長下影線紅K,08.-2~0%,3.10~15%,33.33,37.78,37.78,46.67,44.44,45
02.T字線,02.8~10%,2.5~10%,43.18,34.09,52.27,45.45,47.73,44
04.十字線,07.0%,3.10~15%,50.0,52.27,54.55,52.27,50.0,44
09.實體綠K(大陰線),10.-6~-4%,4.>15%,58.14,58.14,62.79,62.79,62.79,43
04.十字線,12.-10~-8%,2.5~10%,67.44,79.07,72.09,74.42,69.77,43
11.綠K,08.-2~0%,3.10~15%,44.19,46.51,53.49,53.49,60.47,43
09.實體綠K(大陰線),03.6~8%,2.5~10%,33.33,45.24,33.33,35.71,33.33,42
05.實體紅K(大陽線),03.6~8%,4.>15%,35.71,35.71,30.95,26.19,28.57,42
10.長下影線綠K,02.8~10%,2.5~10%,30.95,30.95,28.57,26.19,21.43,42
09.實體綠K(大陰線),05.2~4%,4.>15%,53.66,90.24,58.54,41.46,68.29,41
08.長上影線紅K,04.4~6%,3.10~15%,43.24,43.24,35.14,48.65,40.54,37
11.綠K,12.-10~-8%,2.5~10%,58.33,61.11,52.78,55.56,52.78,36
08.長上影線紅K,13.<-10%,1.<5%,75.0,75.0,77.78,63.89,72.22,36
04.十字線,12.-10~-8%,1.<5%,66.67,63.64,75.76,81.82,78.79,33
