K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
11.綠K,05.2~4%,1.<5%,41.06,46.29,46.61,47.9,47.42,622
08.長上影線紅K,03.6~8%,2.5~10%,39.93,39.59,41.13,40.68,42.05,588
12.長上影線綠K,12.-10~-8%,1.<5%,43.34,41.81,53.92,59.32,65.98,587
04.十字線,10.-6~-4%,2.5~10%,43.69,47.27,46.59,48.89,50.09,586
03.倒T字線,12.-10~-8%,1.<5%,32.51,27.69,57.85,63.32,69.66,569
10.長下影線綠K,03.6~8%,2.5~10%,31.63,34.62,36.62,37.32,37.68,569
04.十字線,03.6~8%,2.5~10%,48.22,46.99,45.49,44.74,42.11,533
08.長上影線紅K,06.0~2%,3.10~15%,46.31,46.97,45.63,44.68,45.33,529
05.實體紅K(大陽線),01.>10%,1.<5%,49.02,48.63,53.12,52.15,51.57,512
02.T字線,04.4~6%,1.<5%,41.04,44.42,44.62,45.22,43.23,502
06.長下影線紅K,09.-4~-2%,2.5~10%,35.28,37.37,40.29,40.5,41.54,479
03.倒T字線,11.-8~-6%,2.5~10%,38.87,42.86,47.06,51.89,55.67,476
02.T字線,09.-4~-2%,1.<5%,40.51,44.73,41.14,43.67,43.46,475
10.長下影線綠K,08.-2~0%,3.10~15%,38.19,38.19,42.62,44.3,44.73,475
12.長上影線綠K,12.-10~-8%,2.5~10%,50.43,56.9,58.62,61.21,63.15,464
12.長上影線綠K,04.4~6%,1.<5%,40.22,41.78,43.56,44.0,44.99,450
02.T字線,02.8~10%,2.5~10%,47.1,43.4,42.95,43.18,43.27,448
08.長上影線紅K,11.-8~-6%,2.5~10%,44.84,48.21,51.79,56.28,58.52,446
09.實體綠K(大陰線),13.<-10%,2.5~10%,50.69,53.21,53.44,54.36,54.36,436
04.十字線,10.-6~-4%,1.<5%,47.94,47.25,50.0,49.08,49.77,436
05.實體紅K(大陽線),11.-8~-6%,1.<5%,41.06,45.98,50.8,52.53,52.07,436
05.實體紅K(大陽線),01.>10%,4.>15%,43.88,36.72,34.87,36.72,36.03,433
09.實體綠K(大陰線),11.-8~-6%,4.>15%,53.85,49.88,49.88,46.84,47.54,429
01.一字線,04.4~6%,1.<5%,38.41,41.22,44.03,39.81,37.0,427
01.一字線,12.-10~-8%,1.<5%,34.36,34.44,45.24,48.69,52.51,423
10.長下影線綠K,09.-4~-2%,3.10~15%,52.49,52.73,55.48,56.43,53.81,421
01.一字線,10.-6~-4%,1.<5%,47.09,50.13,52.15,51.65,51.39,395
03.倒T字線,10.-6~-4%,1.<5%,55.58,57.61,55.58,52.54,53.55,394
09.實體綠K(大陰線),03.6~8%,1.<5%,32.19,36.94,37.47,36.41,35.88,379
12.長上影線綠K,10.-6~-4%,3.10~15%,53.74,52.94,49.73,51.08,52.15,376
07.紅K,04.4~6%,3.10~15%,40.22,40.22,39.4,38.42,38.69,368
05.實體紅K(大陽線),10.-6~-4%,2.5~10%,41.14,48.77,51.23,53.13,54.22,367
05.實體紅K(大陽線),06.0~2%,3.10~15%,38.25,44.38,45.48,50.14,50.14,366
11.綠K,10.-6~-4%,1.<5%,45.21,48.22,49.86,50.96,50.41,365
03.倒T字線,05.2~4%,1.<5%,45.4,42.9,43.3,44.41,44.97,359
08.長上影線紅K,03.6~8%,1.<5%,39.78,44.82,44.54,45.38,47.61,358
06.長下影線紅K,05.2~4%,3.10~15%,29.05,32.77,35.01,33.43,33.99,358
12.長上影線綠K,04.4~6%,2.5~10%,40.51,41.19,47.16,45.17,44.32,353
09.實體綠K(大陰線),13.<-10%,3.10~15%,51.01,45.8,48.12,51.01,51.59,346
10.長下影線綠K,06.0~2%,3.10~15%,37.39,38.84,40.29,41.16,41.74,345
09.實體綠K(大陰線),13.<-10%,1.<5%,67.64,72.01,74.64,75.8,76.09,343
11.綠K,05.2~4%,2.5~10%,38.24,41.76,38.53,36.76,37.06,340
06.長下影線紅K,04.4~6%,3.10~15%,34.43,34.43,34.23,36.04,35.74,334
10.長下影線綠K,05.2~4%,3.10~15%,30.31,35.0,37.19,40.31,41.56,320
06.長下影線紅K,03.6~8%,3.10~15%,47.63,46.06,40.69,43.04,40.95,317
08.長上影線紅K,12.-10~-8%,1.<5%,41.69,41.5,62.42,62.42,67.32,308
09.實體綠K(大陰線),10.-6~-4%,4.>15%,46.73,45.75,44.12,44.77,46.41,306
05.實體紅K(大陽線),02.8~10%,4.>15%,45.57,40.98,43.61,42.3,42.38,306
08.長上影線紅K,04.4~6%,3.10~15%,45.58,40.82,42.18,38.78,39.8,296
11.綠K,10.-6~-4%,3.10~15%,49.32,51.7,53.06,55.1,56.12,294
04.十字線,01.>10%,3.10~15%,46.6,42.52,40.82,39.8,41.84,294
11.綠K,09.-4~-2%,3.10~15%,47.6,47.6,47.26,47.08,50.52,292
06.長下影線紅K,10.-6~-4%,1.<5%,42.54,41.79,46.27,49.25,47.39,268
01.一字線,01.>10%,1.<5%,72.33,62.06,61.51,57.37,57.77,253
09.實體綠K(大陰線),13.<-10%,4.>15%,58.0,50.0,56.4,61.6,62.0,250
06.長下影線紅K,06.0~2%,3.10~15%,42.57,44.98,47.18,45.16,49.39,249
09.實體綠K(大陰線),06.0~2%,3.10~15%,34.96,39.84,37.4,34.55,39.02,248
12.長上影線綠K,11.-8~-6%,3.10~15%,40.16,38.11,52.87,56.97,57.38,244
12.長上影線綠K,06.0~2%,3.10~15%,41.6,45.8,42.02,44.12,41.6,238
07.紅K,09.-4~-2%,1.<5%,42.55,43.4,46.81,50.21,52.34,235
04.十字線,11.-8~-6%,2.5~10%,45.45,54.55,50.65,47.62,51.52,231
10.長下影線綠K,04.4~6%,3.10~15%,32.9,33.48,36.52,34.35,33.19,231
04.十字線,01.>10%,4.>15%,44.93,41.85,41.41,38.77,39.21,227
11.綠K,11.-8~-6%,2.5~10%,53.33,56.0,53.57,54.46,56.25,225
10.長下影線綠K,02.8~10%,1.<5%,26.94,32.42,36.53,34.86,39.17,220
04.十字線,02.8~10%,2.5~10%,42.73,45.0,42.73,43.18,43.64,220
10.長下影線綠K,11.-8~-6%,2.5~10%,47.73,53.18,50.91,50.45,56.36,220
11.綠K,07.0%,2.5~10%,37.09,43.66,39.44,39.91,38.97,213
08.長上影線紅K,08.-2~0%,3.10~15%,51.89,46.23,46.45,47.39,49.05,212
10.長下影線綠K,10.-6~-4%,3.10~15%,55.83,52.43,57.28,59.71,59.71,206
02.T字線,01.>10%,1.<5%,59.0,59.5,54.0,52.5,49.5,200
02.T字線,07.0%,2.5~10%,27.04,27.04,32.14,31.63,31.63,196
02.T字線,04.4~6%,2.5~10%,44.56,46.63,45.6,44.56,47.67,193
05.實體紅K(大陽線),12.-10~-8%,1.<5%,42.86,51.1,54.4,54.4,56.59,182
10.長下影線綠K,11.-8~-6%,1.<5%,36.46,36.46,39.78,42.54,41.44,181
08.長上影線紅K,09.-4~-2%,3.10~15%,45.09,47.4,51.74,52.91,52.91,174
10.長下影線綠K,02.8~10%,2.5~10%,32.14,32.14,32.34,31.74,34.13,170
09.實體綠K(大陰線),07.0%,3.10~15%,37.87,41.42,45.56,46.75,44.38,169
01.一字線,13.<-10%,1.<5%,28.48,30.91,35.15,41.21,46.06,165
02.T字線,01.>10%,3.10~15%,35.4,32.3,33.54,32.92,32.92,161
04.十字線,03.6~8%,1.<5%,36.71,37.97,40.51,37.97,41.77,158
03.倒T字線,06.0~2%,2.5~10%,45.86,47.77,49.04,47.77,45.86,157
11.綠K,08.-2~0%,3.10~15%,28.76,36.6,39.22,38.56,37.25,153
06.長下影線紅K,02.8~10%,3.10~15%,47.62,43.54,50.0,47.92,46.53,148
03.倒T字線,10.-6~-4%,2.5~10%,61.22,57.82,64.63,60.54,64.63,147
08.長上影線紅K,12.-10~-8%,2.5~10%,46.26,49.66,59.18,62.59,69.39,147
07.紅K,03.6~8%,3.10~15%,40.41,41.1,40.41,39.73,41.1,146
08.長上影線紅K,10.-6~-4%,3.10~15%,46.21,51.72,57.24,60.0,57.93,145
03.倒T字線,12.-10~-8%,2.5~10%,47.14,47.86,57.14,60.0,57.14,141
07.紅K,08.-2~0%,2.5~10%,34.75,41.84,47.52,47.52,44.68,141
06.長下影線紅K,01.>10%,1.<5%,52.14,48.57,52.52,48.2,47.48,140
03.倒T字線,07.0%,2.5~10%,50.36,52.52,53.96,51.8,51.08,139
05.實體紅K(大陽線),08.-2~0%,3.10~15%,46.38,44.2,48.55,44.93,48.91,138
02.T字線,03.6~8%,3.10~15%,55.07,50.0,47.1,50.0,48.55,138
07.紅K,05.2~4%,3.10~15%,37.5,36.76,31.62,34.56,37.5,136
10.長下影線綠K,07.0%,3.10~15%,28.57,34.59,36.84,40.6,36.09,133
09.實體綠K(大陰線),03.6~8%,2.5~10%,46.97,50.0,41.67,38.64,43.51,132
09.實體綠K(大陰線),02.8~10%,1.<5%,30.53,26.72,31.3,34.35,32.06,131
06.長下影線紅K,10.-6~-4%,2.5~10%,40.0,48.46,49.23,48.46,47.69,130
07.紅K,03.6~8%,1.<5%,37.21,39.53,40.31,40.62,42.97,129
04.十字線,02.8~10%,3.10~15%,46.09,44.53,47.66,45.31,45.31,128
02.T字線,08.-2~0%,2.5~10%,19.69,28.35,29.13,29.13,29.13,127
05.實體紅K(大陽線),07.0%,3.10~15%,38.1,45.24,48.41,51.59,49.21,126
11.綠K,04.4~6%,1.<5%,37.1,43.55,43.55,43.55,41.94,124
12.長上影線綠K,03.6~8%,1.<5%,28.46,32.52,34.15,36.89,36.07,124
02.T字線,01.>10%,2.5~10%,37.5,35.0,38.33,34.17,37.5,120
09.實體綠K(大陰線),09.-4~-2%,4.>15%,43.7,42.37,42.37,40.68,40.68,119
04.十字線,11.-8~-6%,1.<5%,47.46,43.22,47.01,53.85,53.85,118
02.T字線,10.-6~-4%,1.<5%,40.35,48.25,44.74,40.35,41.23,114
06.長下影線紅K,01.>10%,2.5~10%,45.54,46.43,48.21,45.54,46.85,112
11.綠K,04.4~6%,2.5~10%,46.36,43.64,43.12,47.71,43.12,110
03.倒T字線,09.-4~-2%,2.5~10%,59.63,56.88,61.47,63.3,64.22,109
11.綠K,11.-8~-6%,1.<5%,56.48,51.85,52.78,53.7,56.48,108
07.紅K,09.-4~-2%,2.5~10%,39.81,43.52,44.44,40.74,49.07,108
04.十字線,03.6~8%,3.10~15%,43.69,45.63,43.69,44.66,44.66,103
12.長上影線綠K,10.-6~-4%,4.>15%,41.75,40.78,40.78,43.69,44.66,103
09.實體綠K(大陰線),01.>10%,1.<5%,30.69,34.65,32.67,29.7,28.71,101
06.長下影線紅K,11.-8~-6%,1.<5%,42.57,43.56,40.59,41.58,46.53,101
05.實體紅K(大陽線),11.-8~-6%,2.5~10%,36.63,48.51,53.47,56.44,60.4,101
04.十字線,13.<-10%,4.>15%,56.12,53.06,66.33,63.27,65.31,98
02.T字線,06.0~2%,2.5~10%,31.18,29.03,36.56,33.33,41.94,93
10.長下影線綠K,03.6~8%,3.10~15%,45.65,47.83,42.39,38.04,35.87,92
08.長上影線紅K,07.0%,3.10~15%,51.72,47.13,51.72,45.98,43.68,87
04.十字線,01.>10%,2.5~10%,44.19,46.51,44.19,46.51,40.7,86
12.長上影線綠K,07.0%,3.10~15%,47.62,52.38,46.43,47.62,46.43,86
12.長上影線綠K,12.-10~-8%,3.10~15%,62.35,58.82,60.0,64.71,67.06,85
12.長上影線綠K,13.<-10%,1.<5%,52.94,62.35,65.88,68.24,69.05,85
07.紅K,02.8~10%,2.5~10%,46.43,50.0,40.48,38.1,39.76,84
03.倒T字線,11.-8~-6%,3.10~15%,34.52,34.52,51.19,55.95,54.76,84
04.十字線,11.-8~-6%,3.10~15%,46.99,48.19,51.81,55.42,56.63,83
02.T字線,05.2~4%,2.5~10%,35.37,39.02,41.46,37.8,41.46,82
05.實體紅K(大陽線),03.6~8%,4.>15%,33.33,29.63,27.16,24.69,27.16,81
09.實體綠K(大陰線),05.2~4%,3.10~15%,40.51,39.74,41.03,34.62,39.74,80
08.長上影線紅K,11.-8~-6%,3.10~15%,51.9,59.49,58.23,64.56,64.56,79
03.倒T字線,13.<-10%,1.<5%,32.05,32.05,57.69,61.54,65.38,78
05.實體紅K(大陽線),13.<-10%,1.<5%,66.23,79.22,80.52,77.92,75.32,77
03.倒T字線,08.-2~0%,2.5~10%,58.44,58.44,54.55,54.55,55.84,77
04.十字線,05.2~4%,3.10~15%,44.16,48.05,50.65,46.75,49.35,77
07.紅K,10.-6~-4%,1.<5%,47.95,46.58,42.47,52.05,50.68,73
