K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
9.實體綠K(大陰線),09.-4~-2%,4.>15%,140,45.71,41.73,43.17,41.01,43.17
11.一般綠K(紡錘線),04.4~6%,2.5~10%,140,47.14,43.57,46.04,48.2,44.6
9.實體綠K(大陰線),01.>10%,1.<5%,132,32.58,38.64,33.33,31.82,34.09
4.十字線,13.<-10%,4.>15%,131,52.67,54.2,63.36,60.31,63.36
3.倒T字線,04.4~6%,1.<5%,128,37.5,45.31,43.75,47.66,48.44
10.長下影線綠K,03.6~8%,3.10~15%,126,42.06,41.27,38.1,40.48,38.1
12.長上影線綠K,10.-6~-4%,4.>15%,126,42.86,39.68,39.68,42.86,42.86
3.倒T字線,11.-8~-6%,3.10~15%,126,40.48,42.86,52.38,57.94,52.38
5.實體紅K(大陽線),13.<-10%,1.<5%,125,62.4,73.6,72.8,69.6,68.8
4.十字線,11.-8~-6%,3.10~15%,124,48.39,55.65,59.68,58.87,56.45
