K線型態,漲跌幅等級,振幅等級,出現次數,T+1勝率(%),T+2勝率(%),T+3勝率(%),T+4勝率(%),T+5勝率(%)
8.長上影線紅K,小跌(-3~0%),劇烈波動(>8%),2391,46.3,46.13,47.14,48.52,48.31
8.長上影線紅K,平盤(0%),中等波動(4~8%),5976,43.66,44.54,45.9,45.41,45.92
8.長上影線紅K,平盤(0%),低波動(<4%),45054,45.86,47.7,48.52,48.5,49.32
8.長上影線紅K,平盤(0%),劇烈波動(>8%),740,46.89,49.59,47.43,47.97,46.22
8.長上影線紅K,漲停或大漲(>8%),中等波動(4~8%),238,34.03,34.45,34.87,36.97,39.5
8.長上影線紅K,漲停或大漲(>8%),低波動(<4%),320,40.62,42.81,47.19,48.44,47.81
8.長上影線紅K,漲停或大漲(>8%),劇烈波動(>8%),97,37.11,40.21,47.42,45.36,40.21
8.長上影線紅K,跌停或大跌(<-8%),中等波動(4~8%),476,53.78,51.89,58.19,61.34,62.61
8.長上影線紅K,跌停或大跌(<-8%),低波動(<4%),463,51.4,52.48,66.74,64.58,67.6
8.長上影線紅K,跌停或大跌(<-8%),劇烈波動(>8%),208,56.73,56.25,62.98,58.17,60.1
9.實體綠K(大陰線),中漲(3~8%),中等波動(4~8%),4051,35.87,38.09,39.45,39.42,39.72
9.實體綠K(大陰線),中漲(3~8%),低波動(<4%),6298,35.55,38.14,39.55,40.12,40.81
9.實體綠K(大陰線),中漲(3~8%),劇烈波動(>8%),495,35.15,43.43,38.59,33.74,38.18
9.實體綠K(大陰線),中跌(-8~-3%),中等波動(4~8%),257040,48.85,50.03,49.97,50.39,50.62
9.實體綠K(大陰線),中跌(-8~-3%),低波動(<4%),90445,48.06,48.49,48.2,48.51,48.66
9.實體綠K(大陰線),中跌(-8~-3%),劇烈波動(>8%),62593,48.85,51.01,51.44,52.18,51.98
9.實體綠K(大陰線),小漲(0~3%),中等波動(4~8%),21058,41.26,43.0,43.53,44.14,43.93
9.實體綠K(大陰線),小漲(0~3%),低波動(<4%),160442,45.77,48.34,49.06,49.34,49.49
9.實體綠K(大陰線),小漲(0~3%),劇烈波動(>8%),2431,38.71,42.41,40.6,40.44,41.05
9.實體綠K(大陰線),小跌(-3~0%),中等波動(4~8%),153427,46.95,48.26,48.56,48.46,48.35
9.實體綠K(大陰線),小跌(-3~0%),低波動(<4%),1319729,45.97,47.87,48.41,48.65,48.89
9.實體綠K(大陰線),小跌(-3~0%),劇烈波動(>8%),8198,42.35,45.49,45.17,45.13,45.22
9.實體綠K(大陰線),平盤(0%),中等波動(4~8%),7483,41.57,44.05,44.35,44.25,44.38
9.實體綠K(大陰線),平盤(0%),低波動(<4%),117108,45.31,48.11,49.04,49.55,49.71
9.實體綠K(大陰線),平盤(0%),劇烈波動(>8%),1020,37.16,41.18,42.45,43.14,42.16
9.實體綠K(大陰線),漲停或大漲(>8%),中等波動(4~8%),259,35.14,41.31,34.75,31.27,32.82
9.實體綠K(大陰線),漲停或大漲(>8%),低波動(<4%),675,31.56,35.41,33.48,34.81,35.56
9.實體綠K(大陰線),漲停或大漲(>8%),劇烈波動(>8%),63,33.33,44.44,31.75,36.51,36.51
9.實體綠K(大陰線),跌停或大跌(<-8%),中等波動(4~8%),6417,49.62,52.73,52.22,54.62,56.47
9.實體綠K(大陰線),跌停或大跌(<-8%),低波動(<4%),2275,56.57,58.02,59.96,61.89,62.02
9.實體綠K(大陰線),跌停或大跌(<-8%),劇烈波動(>8%),17985,52.15,51.72,51.71,54.13,55.61
