K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
07.紅K,04.4~6%,2.5~10%,41.04,41.28,43.6,37.21,39.53,173
02.T字線,02.8~10%,1.<5%,72.26,72.9,81.94,78.71,78.71,155
05.實體紅K(大陽線),01.>10%,2.5~10%,54.3,48.34,51.66,45.03,49.67,151
06.長下影線紅K,03.6~8%,2.5~10%,54.0,48.67,48.67,49.66,50.34,150
11.綠K,05.2~4%,1.<5%,45.21,52.74,53.42,52.74,47.26,146
11.綠K,10.-6~-4%,1.<5%,48.57,54.29,51.43,46.43,50.0,140
06.長下影線紅K,09.-4~-2%,2.5~10%,42.42,49.24,56.82,56.82,52.27,132
09.實體綠K(大陰線),01.>10%,1.<5%,33.08,41.54,33.85,33.85,34.62,130
09.實體綠K(大陰線),13.<-10%,1.<5%,56.15,51.54,48.46,53.08,52.31,130
05.實體紅K(大陽線),02.8~10%,3.10~15%,46.88,38.28,40.94,40.48,39.68,128
08.長上影線紅K,11.-8~-6%,1.<5%,54.4,47.2,49.6,52.0,50.4,125
04.十字線,10.-6~-4%,2.5~10%,49.59,42.15,42.98,40.5,45.45,121
08.長上影線紅K,04.4~6%,2.5~10%,37.29,38.14,42.37,41.53,41.53,118
04.十字線,05.2~4%,2.5~10%,52.14,40.17,41.88,47.01,42.74,117
05.實體紅K(大陽線),06.0~2%,3.10~15%,44.35,50.43,51.3,41.74,42.61,115
04.十字線,04.4~6%,1.<5%,40.18,45.54,43.75,47.32,40.18,112
06.長下影線紅K,02.8~10%,1.<5%,66.96,62.5,72.32,67.86,67.86,112
07.紅K,08.-2~0%,2.5~10%,50.0,55.36,56.25,57.14,53.57,112
08.長上影線紅K,11.-8~-6%,2.5~10%,59.63,58.72,55.05,57.8,57.8,109
07.紅K,04.4~6%,1.<5%,42.06,51.4,53.27,50.47,48.6,107
05.實體紅K(大陽線),10.-6~-4%,2.5~10%,59.0,50.0,50.0,49.0,54.55,100
02.T字線,03.6~8%,2.5~10%,57.73,57.73,52.58,51.55,51.55,97
09.實體綠K(大陰線),13.<-10%,2.5~10%,41.24,43.3,53.61,45.36,47.42,97
02.T字線,07.0%,2.5~10%,25.26,30.53,29.47,30.53,32.63,95
03.倒T字線,10.-6~-4%,2.5~10%,53.19,59.57,68.09,58.51,57.45,94
09.實體綠K(大陰線),08.-2~0%,3.10~15%,38.89,37.78,40.0,42.22,45.56,90
03.倒T字線,09.-4~-2%,2.5~10%,60.47,59.3,50.0,51.16,47.67,86
03.倒T字線,12.-10~-8%,1.<5%,43.53,51.76,58.82,62.35,68.24,85
10.長下影線綠K,03.6~8%,1.<5%,51.25,50.0,47.5,47.5,43.75,80
02.T字線,10.-6~-4%,1.<5%,45.45,46.75,50.65,49.35,41.56,77
12.長上影線綠K,09.-4~-2%,3.10~15%,53.25,57.14,50.65,51.95,53.25,77
05.實體紅K(大陽線),12.-10~-8%,1.<5%,46.05,46.05,43.42,46.05,48.68,76
06.長下影線紅K,10.-6~-4%,1.<5%,48.68,50.0,52.63,50.0,50.0,76
09.實體綠K(大陰線),02.8~10%,1.<5%,26.67,38.67,28.0,32.0,37.33,75
10.長下影線綠K,08.-2~0%,3.10~15%,41.89,37.84,43.24,39.19,45.95,74
03.倒T字線,08.-2~0%,2.5~10%,48.61,51.39,55.56,52.78,58.33,72
11.綠K,06.0~2%,2.5~10%,39.71,42.65,54.41,48.53,44.12,68
12.長上影線綠K,12.-10~-8%,2.5~10%,58.82,55.88,54.41,57.35,61.76,68
12.長上影線綠K,05.2~4%,2.5~10%,45.59,44.12,52.94,51.47,48.53,68
03.倒T字線,07.0%,2.5~10%,50.79,57.14,65.08,66.67,66.67,63
08.長上影線紅K,09.-4~-2%,3.10~15%,55.56,61.9,57.14,57.14,58.73,63
12.長上影線綠K,12.-10~-8%,1.<5%,41.27,46.03,55.56,50.79,50.79,63
08.長上影線紅K,01.>10%,1.<5%,40.98,36.07,42.62,45.9,47.54,61
06.長下影線紅K,01.>10%,1.<5%,40.98,41.67,41.67,46.67,53.33,61
09.實體綠K(大陰線),04.4~6%,2.5~10%,41.67,40.0,41.67,28.33,33.33,60
08.長上影線紅K,10.-6~-4%,3.10~15%,65.52,68.97,68.97,70.69,62.07,58
07.紅K,07.0%,2.5~10%,56.9,55.17,58.62,50.0,55.17,58
12.長上影線綠K,10.-6~-4%,3.10~15%,51.72,55.17,55.17,50.0,48.28,58
02.T字線,06.0~2%,2.5~10%,26.32,26.32,33.33,38.6,33.33,57
10.長下影線綠K,05.2~4%,3.10~15%,28.07,26.32,24.56,17.54,24.56,57
10.長下影線綠K,03.6~8%,2.5~10%,30.36,32.14,37.5,33.93,37.5,56
12.長上影線綠K,04.4~6%,1.<5%,46.43,48.21,46.43,44.64,48.21,56
10.長下影線綠K,09.-4~-2%,3.10~15%,49.09,47.27,52.73,54.55,50.91,55
04.十字線,04.4~6%,2.5~10%,42.59,42.59,37.04,44.44,37.04,54
10.長下影線綠K,06.0~2%,3.10~15%,42.31,51.92,40.38,36.54,40.38,52
09.實體綠K(大陰線),13.<-10%,3.10~15%,30.77,30.77,36.54,34.62,38.46,52
05.實體紅K(大陽線),13.<-10%,1.<5%,58.82,62.75,56.86,60.78,52.94,51
12.長上影線綠K,01.>10%,1.<5%,32.65,44.9,42.86,40.82,34.69,49
08.長上影線紅K,08.-2~0%,3.10~15%,46.94,48.98,48.98,55.1,53.06,49
06.長下影線紅K,04.4~6%,3.10~15%,27.08,31.25,37.5,27.08,31.25,48
10.長下影線綠K,04.4~6%,3.10~15%,39.58,33.33,27.08,29.17,31.25,48
02.T字線,05.2~4%,2.5~10%,29.79,29.79,34.04,36.17,34.04,47
02.T字線,04.4~6%,2.5~10%,36.96,43.48,41.3,41.3,41.3,46
12.長上影線綠K,11.-8~-6%,3.10~15%,45.65,47.83,43.48,50.0,54.35,46
05.實體紅K(大陽線),08.-2~0%,3.10~15%,47.83,50.0,54.35,56.52,50.0,46
02.T字線,08.-2~0%,2.5~10%,30.43,30.43,26.09,19.57,19.57,46
11.綠K,10.-6~-4%,3.10~15%,48.89,51.11,42.22,42.22,46.67,45
05.實體紅K(大陽線),01.>10%,3.10~15%,47.73,40.91,52.27,43.18,44.19,44
11.綠K,07.0%,2.5~10%,46.51,46.51,46.51,44.19,46.51,43
10.長下影線綠K,01.>10%,1.<5%,30.95,42.86,35.71,35.71,45.24,42
07.紅K,09.-4~-2%,2.5~10%,50.0,52.38,57.14,50.0,40.48,42
09.實體綠K(大陰線),06.0~2%,3.10~15%,34.21,52.63,52.63,47.37,50.0,38
03.倒T字線,11.-8~-6%,3.10~15%,67.57,70.27,62.16,56.76,54.05,37
