K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),12.-10~-8%,1.<5%,50.1,51.65,54.67,56.54,58.82,1577
06.長下影線紅K,02.8~10%,1.<5%,54.38,54.85,56.77,54.55,53.49,1519
06.長下影線紅K,07.0%,2.5~10%,31.63,36.38,38.69,41.05,41.26,1432
01.一字線,05.2~4%,1.<5%,38.15,41.52,42.95,42.16,40.52,1397
04.十字線,04.4~6%,2.5~10%,43.22,42.2,43.66,43.96,41.98,1365
05.實體紅K(大陽線),05.2~4%,3.10~15%,38.05,44.6,45.66,48.78,46.92,1314
06.長下影線紅K,02.8~10%,2.5~10%,52.71,50.7,50.93,48.05,47.27,1293
12.長上影線綠K,09.-4~-2%,3.10~15%,47.87,46.88,45.81,46.63,46.96,1223
08.長上影線紅K,11.-8~-6%,1.<5%,49.75,45.78,51.26,53.54,56.32,1186
07.紅K,03.6~8%,2.5~10%,42.53,43.74,43.78,44.64,42.98,1152
09.實體綠K(大陰線),08.-2~0%,3.10~15%,36.94,41.67,40.41,41.97,42.15,1118
11.綠K,05.2~4%,1.<5%,42.68,46.15,46.61,46.52,46.7,1107
04.十字線,04.4~6%,1.<5%,44.26,43.53,44.44,45.91,45.64,1089
12.長上影線綠K,08.-2~0%,3.10~15%,44.65,44.21,42.5,44.12,46.02,1060
02.T字線,03.6~8%,2.5~10%,55.81,50.8,50.61,47.97,46.27,1059
05.實體紅K(大陽線),01.>10%,3.10~15%,49.9,44.84,43.77,44.06,44.53,1046
11.綠K,06.0~2%,2.5~10%,41.65,44.65,43.29,43.76,44.34,1032
04.十字線,10.-6~-4%,2.5~10%,44.61,48.4,47.81,49.32,49.61,1029
10.長下影線綠K,03.6~8%,1.<5%,36.28,40.75,43.14,42.0,41.1,962
09.實體綠K(大陰線),12.-10~-8%,4.>15%,44.43,45.01,46.11,47.16,48.58,952
06.長下影線紅K,09.-4~-2%,2.5~10%,40.68,42.11,44.74,43.42,44.96,912
08.長上影線紅K,05.2~4%,3.10~15%,42.26,39.71,38.11,39.27,38.73,906
02.T字線,09.-4~-2%,1.<5%,40.82,44.1,42.63,44.33,45.24,883
10.長下影線綠K,08.-2~0%,3.10~15%,40.46,41.08,45.68,46.26,47.64,871
12.長上影線綠K,12.-10~-8%,1.<5%,43.71,43.59,53.68,57.79,63.45,843
03.倒T字線,11.-8~-6%,2.5~10%,41.5,44.03,48.61,52.59,56.21,829
11.綠K,10.-6~-4%,1.<5%,45.88,48.55,46.85,48.31,48.55,826
10.長下影線綠K,09.-4~-2%,3.10~15%,52.13,50.06,56.2,55.72,53.89,823
01.一字線,12.-10~-8%,1.<5%,32.51,31.89,45.09,48.51,53.11,810
04.十字線,10.-6~-4%,1.<5%,47.01,47.14,49.32,49.69,49.81,804
08.長上影線紅K,06.0~2%,3.10~15%,45.12,46.68,46.05,44.67,44.1,800
09.實體綠K(大陰線),04.4~6%,2.5~10%,33.38,34.92,35.93,35.77,36.24,797
01.一字線,10.-6~-4%,1.<5%,46.61,47.36,51.63,51.38,50.63,796
02.T字線,04.4~6%,1.<5%,39.42,42.7,43.7,45.47,43.83,794
05.實體紅K(大陽線),01.>10%,1.<5%,48.8,47.66,52.53,50.38,51.08,791
01.一字線,04.4~6%,1.<5%,38.3,40.08,41.09,39.06,38.17,786
08.長上影線紅K,11.-8~-6%,2.5~10%,47.69,49.74,52.05,56.41,57.56,781
03.倒T字線,12.-10~-8%,1.<5%,32.3,29.15,55.96,62.82,70.08,774
12.長上影線綠K,12.-10~-8%,2.5~10%,52.33,56.06,58.06,61.52,64.85,751
08.長上影線紅K,03.6~8%,2.5~10%,40.14,41.24,42.34,41.44,43.51,727
10.長下影線綠K,03.6~8%,2.5~10%,33.48,34.9,36.8,37.38,38.14,702
05.實體紅K(大陽線),06.0~2%,3.10~15%,43.12,48.78,50.07,52.94,54.09,698
09.實體綠K(大陰線),13.<-10%,2.5~10%,51.73,53.03,56.05,56.63,58.21,694
04.十字線,03.6~8%,2.5~10%,48.99,46.31,45.59,44.28,42.98,692
03.倒T字線,10.-6~-4%,1.<5%,55.51,55.51,55.65,52.75,53.19,690
