N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
十字 -> 紅K -> 綠K,06.0~10%,28748,42.37,44.7,45.6,45.59,45.99
紅K -> 十字 -> 紅K,06.0~10%,25791,42.35,44.67,45.4,45.92,46.3
十字 -> 十字 -> 紅K,05.10~15%,175,42.29,47.43,45.71,41.14,46.29
綠K -> 十字 -> 紅K,06.0~10%,24020,42.25,45.36,46.21,46.71,46.85
紅K -> 綠K -> 紅K,01.>30%,45,42.22,26.67,33.33,37.78,28.89
十字 -> 綠K -> 十字,06.0~10%,3364,42.12,46.55,46.64,47.41,48.16
紅K -> 紅K -> 十字,06.0~10%,26260,42.08,44.68,46.07,46.87,46.66
紅K -> 十字 -> 十字,06.0~10%,6458,42.01,45.15,46.48,46.55,46.89
十字 -> 紅K -> 紅K,07.-10~0%,4691,41.63,45.09,46.94,47.64,48.97
綠K -> 十字 -> 十字,07.-10~0%,9820,41.56,44.05,44.84,45.77,46.72
十字 -> 十字 -> 紅K,06.0~10%,6799,40.83,42.32,44.08,44.54,45.45
十字 -> 紅K -> 十字,06.0~10%,6328,40.57,43.17,44.66,44.85,46.1
十字 -> 十字 -> 十字,07.-10~0%,6872,40.56,43.32,44.83,45.71,47.21
紅K -> 十字 -> 綠K,05.10~15%,847,40.5,43.68,43.92,42.38,42.5
十字 -> 十字 -> 紅K,04.15~20%,162,40.12,43.83,38.27,38.27,40.74
十字 -> 十字 -> 紅K,08.-15~-10%,307,40.07,48.86,59.28,61.89,61.56
十字 -> 十字 -> 綠K,03.20~25%,55,40.0,34.55,32.73,38.18,41.82
十字 -> 十字 -> 紅K,09.-20~-15%,115,39.13,52.17,60.0,58.26,61.74
十字 -> 紅K -> 十字,07.-10~0%,2541,39.12,43.21,45.85,45.61,45.34
十字 -> 十字 -> 紅K,07.-10~0%,2554,38.88,41.78,43.5,45.38,47.18
十字 -> 十字 -> 綠K,04.15~20%,170,38.82,41.18,41.76,43.53,39.41
十字 -> 十字 -> 綠K,09.-20~-15%,233,38.63,37.77,66.52,75.11,75.97
綠K -> 紅K -> 綠K,05.10~15%,1297,38.55,43.1,42.79,42.71,44.02
紅K -> 綠K -> 綠K,04.15~20%,207,38.16,47.83,46.38,43.48,45.89
紅K -> 紅K -> 十字,07.-10~0%,4620,37.99,40.22,43.05,43.87,45.78
紅K -> 紅K -> 綠K,02.25~30%,153,37.91,41.18,43.14,43.79,45.1
十字 -> 十字 -> 十字,10.-25~-20%,75,37.33,25.33,49.33,49.33,49.33
紅K -> 十字 -> 十字,07.-10~0%,2855,36.99,39.44,41.44,41.93,43.61
十字 -> 十字 -> 十字,08.-15~-10%,586,36.69,39.59,52.39,54.44,61.6
綠K -> 十字 -> 綠K,09.-20~-15%,742,36.66,47.84,60.24,63.48,67.65
紅K -> 紅K -> 綠K,01.>30%,71,36.62,39.44,33.8,30.99,35.21
綠K -> 十字 -> 綠K,11.-30~-25%,55,36.36,34.55,56.36,43.64,58.18
綠K -> 紅K -> 綠K,04.15~20%,188,36.17,42.02,41.49,38.83,36.17
紅K -> 綠K -> 綠K,03.20~25%,48,35.42,31.25,35.42,33.33,31.25
綠K -> 紅K -> 十字,09.-20~-15%,77,35.06,57.14,54.55,53.25,45.45
綠K -> 十字 -> 綠K,10.-25~-20%,86,34.88,33.72,53.49,54.65,63.95
綠K -> 紅K -> 綠K,10.-25~-20%,164,33.54,30.49,40.24,46.34,47.56
紅K -> 綠K -> 十字,08.-15~-10%,693,32.32,34.92,40.98,45.45,50.79
綠K -> 綠K -> 十字,10.-25~-20%,108,31.48,41.67,46.3,54.63,53.7
綠K -> 十字 -> 綠K,05.10~15%,61,31.15,40.98,45.9,42.62,44.26
紅K -> 十字 -> 十字,08.-15~-10%,194,27.84,24.74,32.99,39.69,47.94
綠K -> 十字 -> 十字,11.-30~-25%,54,27.78,27.78,40.74,31.48,31.48
綠K -> 綠K -> 十字,11.-30~-25%,37,27.03,21.62,35.14,40.54,27.03
十字 -> 十字 -> 十字,09.-20~-15%,604,25.83,26.49,34.6,37.58,38.58
綠K -> 綠K -> 綠K,04.15~20%,44,25.0,27.27,29.55,34.09,40.91
綠K -> 十字 -> 十字,10.-25~-20%,96,25.0,27.08,37.5,55.21,63.54
綠K -> 十字 -> 十字,08.-15~-10%,431,24.13,24.59,27.15,38.28,46.4
綠K -> 十字 -> 十字,09.-20~-15%,608,23.19,23.19,32.89,39.31,46.38
紅K -> 十字 -> 綠K,09.-20~-15%,75,18.67,36.0,56.0,70.67,77.33
紅K -> 十字 -> 十字,09.-20~-15%,249,5.62,8.43,40.96,59.44,82.33
