N日型態組合,N日累計漲跌幅等級,出現次數,T1_勝率,T2_勝率,T3_勝率,T4_勝率,T5_勝率
[綠K|13.<-10%] -> [綠K|07.0%] -> [綠K|04.4~6%],13.-25~-20%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [十字線|13.<-10%],04.15~20%,1,100.0,100.0,100.0,0.0,0.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [十字線|13.<-10%],05.10~154%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|05.2~4%] -> [綠K|09.-4~-2%],02.25~30%,1,100.0,0.0,0.0,100.0,100.0
[十字線|01.>10%] -> [十字線|05.2~4%] -> [綠K|11.-8~-6%],04.15~20%,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|11.-8~-6%] -> [紅K|01.>10%],06.5~10%,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|12.-10~-8%] -> [紅K|01.>10%],09.-5~0%,1,100.0,100.0,100.0,100.0,100.0
[紅K|04.4~6%] -> [綠K|08.-2~0%] -> [綠K|09.-4~-2%],10.-10~-5%,1,100.0,100.0,100.0,0.0,0.0
[紅K|04.4~6%] -> [綠K|08.-2~0%] -> [綠K|13.<-10%],11.-15~-10%,1,100.0,0.0,0.0,0.0,0.0
[紅K|04.4~6%] -> [綠K|08.-2~0%] -> [紅K|13.<-10%],13.-25~-20%,1,100.0,100.0,100.0,100.0,100.0
[紅K|04.4~6%] -> [綠K|08.-2~0%] -> [紅K|13.<-10%],15.<-30%,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|12.-10~-8%] -> [十字線|04.4~6%],00.未知,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|12.-10~-8%] -> [十字線|04.4~6%],10.-10~-5%,1,100.0,100.0,100.0,100.0,100.0
[紅K|07.0%] -> [綠K|12.-10~-8%] -> [綠K|04.4~6%],12.-20~-15%,1,100.0,100.0,0.0,100.0,100.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [綠K|13.<-10%],06.5~10%,1,100.0,100.0,0.0,0.0,100.0
[綠K|13.<-10%] -> [綠K|07.0%] -> [綠K|06.0~2%],15.<-30%,1,100.0,100.0,100.0,100.0,100.0
[綠K|13.<-10%] -> [綠K|06.0~2%] -> [綠K|08.-2~0%],13.-25~-20%,2,100.0,50.0,50.0,50.0,50.0
[綠K|13.<-10%] -> [綠K|07.0%] -> [十字線|05.2~4%],15.<-30%,1,100.0,0.0,0.0,0.0,0.0
[綠K|13.<-10%] -> [綠K|07.0%] -> [十字線|06.0~2%],13.-25~-20%,1,100.0,100.0,100.0,100.0,100.0
[綠K|13.<-10%] -> [綠K|07.0%] -> [紅K|01.>10%],08.0%,1,100.0,100.0,0.0,0.0,0.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [綠K|13.<-10%],09.-5~0%,1,100.0,0.0,0.0,0.0,0.0
[十字線|01.>10%] -> [十字線|07.0%] -> [十字線|01.>10%],01.>30%,1,100.0,100.0,100.0,100.0,100.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [十字線|12.-10~-8%],02.25~30%,1,100.0,0.0,0.0,0.0,0.0
[十字線|01.>10%] -> [十字線|06.0~2%] -> [十字線|12.-10~-8%],03.20~25%,1,100.0,100.0,100.0,100.0,100.0
